,GPU
1275,Iris Xe
1276,RTX 3060
1277,RTX 3060
1278,"Geoforce RTX3050 GPU, 4 GB"
1279,UHD
1280,Iris Xe
1281,GTX 1650
1282,Radeon Vega 8
1283,RTX 3060
1284,UHD
1285,RTX 3060
1286,UHD
1287,"Quadro T50 GPU, 4 GB"
1288,UHD
1289,GTX 1650
1290,GTX 1650
1291,Radeon
1292,GTX 1650
1293,UHD
1294,UHD
1295,UHD
1296,Radeon
1297,UHD
1298,GTX 1650
1299,GTX 1650
1300,Iris Xe
1301,Iris Xe
1302,RTX 3050
1303,Integrated
1304,RTX 4050
1305,UHD
1306,RTX 3050
1307,"Radeon RX 6700S GPU, 8 GB"
1308,Iris Xe
1309,RTX 4050
1310,Iris Xe
1311,MX330
1312,Integrated
1313,Iris Xe
1314,RTX 3050 Ti
1315,Iris Xe
1316,Iris Xe
1317,Iris Xe
1318,RTX 3050
1319,Radeon
1320,Iris Xe
1321,"RTX 3050 Ti GPU, 4 GB"
1322,RTX 3060
1323,P620
1324,Iris Xe
1325,RTX 3050 Ti
1326,Integrated
1327,UHD
1328,HD 620
1329,UHD 620
1330,Integrated
1331,MX250
1332,Radeon
1333,Iris Xe
1334,UHD
1335,Radeon
1336,RTX 3050
1337,"Quadro T1200 GPU, 4 GB"
1338,UHD
1339,RTX 3060
1340,Iris Xe
1341,"Radeon RX 6700S GPU, 8 GB"
1342,Radeon
1343,UHD 605
1344,Iris Xe
1345,RTX 3070 Ti
1346,UHD
1347,UHD
1348,RTX 3050
1349,UHD 617
1350,MX250
1351,Radeon
1352,Radeon R5
1353,"Geforce MX250 GPU, 2 GB"
1354,GT 940MX
1355,UHD 617
1356,UHD 617
1357,"Geforce GTX 1050Ti GPU, 4 GB"
1358,UHD 617
1359,UHD 617
1360,RTX 3060
1361,UHD
1362,"Geforce MX150 GPU, 4 GB"
1363,UHD
1364,MX350
1365,UHD
1366,UHD
1367,HD 620
1368,RTX 3050
1369,HD 520
1370,UHD
1371,GTX 1050 Ti 
1372,GTX 1050Ti
1373,MX250
1374,"Geforce GTX 1060 GPU, 6 GB"
1375,"Geforce GTX 1650 Ti GPU, 4 GB"
1376,Radeon Vega 8
1377,UHD
1378,"Geforce RTX 3050 GPU, 4 GB"
1379,"Geforce GTX 1650 Ti GPU, 6 GB"
1380,HD 520
1381,GTX 1050
1382,Radeon R5
1383,Iris Xe
1384,UHD 620
1385,"Geforce GTX 1650 GPU, 4 GB"
1386,MX250
1387,UHD
1388,Radeon RX Vega 8
1389,UHD 620
1390,GTX 1650
1391,UHD
1392,HD 405
1393,Radeon Vega 8
1394,UHD
1395,"Geforce MX150 GPU, 2 GB"
1396,940MX
1397,Iris Xe
1398,UHD 620
1399,Iris Xe
1400,GTX 1060
1401,HD 620
1402,"Radeon R16M-M1-30 GPU, 2 GB"
1403,GTX 1050T
1404,HD 620
1405,GTX 1050
1406,HD 520
1407,GT 940MX
1408,UHD
1409,"Radeon 520 GPU, 2 GB"
1410,MX130
1411,HD 620
1412,Iris Xe
1413,"Geforce MX250 GPU, 2 GB"
1414,HD 400
1415,MX250
1416,"Radeon 530 GPU, 2 GB"
1417,UHD 620
1418,MX250
1419,RTX 3050 Ti
1420,HD 620
1421,GTX 1050
1422,"Geforce GTX 1650Ti GPU, 6 GB"
1423,"R17M-M1-70 GPU, 2 GB"
1424,HD 615
1425,"Geforce MX130 GPU, 2 GB"
1426,UHD 620
1427,UHD
1428,RTX 4050
1429,Radeon Vega 3
1430,"Geforce GTX 1650 Ti GPU, 4 GB"
1431,UHD 620
1432,RTX 3060
1433,HD 520
1434,RTX 3050
1435,Radeon
1436,MX150
1437,"Radeon HD 520 GPU, 2 GB"
1438,UHD
1439,GTX 1050Ti
1440,UHD
1441,HD 620
1442,HD 615
1443,UHD
1444,"Geforce GTX 1650 GPU, 4 GB"
1445,UHD 605
1446,GTX 1660 Ti
1447,HD 620
1448,HD 6000
1449,920MX
1450,HD 400
1451,MX250
1452,UHD
1453,Radeon Vega 3
1454,HD 620
1455,HD 620
1456,HD 620
1457,MX150
1458,HD 405
1459,HD 620
1460,UHD
1461,HD 610
1462,UHD
1463,HD 400
1464,UHD
1465,HD 620
1466,Radeon R5
1467,UHD
1468,HD 520
1469,"Radeon HD 8210 GPU, 2 GB"
1470,GTX 1050Ti
1471,Radeon R4
1472,"Geforce GTX 1050Ti GPU, 8 GB"
1473,UHD
1474,Radeon Vega 3
1475,GTX 1650 Max Q
1476,Radeon R4
1477,UHD
1478,Radeon
1479,"Radeon 520 GPU, 2 GB"
1480,UHD 605
1481,"Radeon RX 560X GPU, 4 GB"
1482,Radeon Vega 8
1483,UHD
1484,"Radeon 520 GPU, 2 GB"
1485,"Radeon RX 560X GPU, 4 GB"
1486,Radeon
1487,Integrated UHD
1488,Radeon R4
1489,UHD 605
1490,UHD
1491,HD 505
1492,UHD
1493,HD 405
1494,Radeon
1495,Radeon R4
1496,GTX 1650
1497,Iris Xe
1498,Radeon Vega 8
1499,UHD
1500,UHD
1501,UHD
1502,UHD
1503,HD
1504,GTX 1650
1505,Iris Xe
1506,Integrated
1507,Iris Xe
1508,UHD
1509,HD 620
1510,GTX 1650
1511,UHD
1512,HD 520
1513,HD 520
1514,GTX 1050
1515,RTX 3060
1516,"Geforce GTX 1050 GPU, 3 GB"
1517,UHD
1518,UHD
1519,HD 620
1520,HD 520
1521,Radeon R3
1522,Integrated
1523,GTX 1050
1524,HD
1525,Radeon R2
1526,HD
1527,Radeon Vega 3
1528,Iris Xe
1529,UHD
1530,GTX 1650 Ti
